Project_ID,Project_Name,Start_Date,Expected_End_Date,Actual_End_Date,Budget,Spent_Amount,Duration,Current_Phase,Team_Size,Weather_Factor,Change_Orders,Supplier_Reliability,Permits_Issued,Risk_Level,Stakeholder_Engagement,Compliance_Issues,Completion_Status
265,Project E,2024-01-07,2024-09-27,,666530,468868,269,Construction,9,2,1,7,8,6,5,0,1
266,Project F,2024-01-15,2024-07-12,,864057,343380,244,Construction,8,4,1,1,4,5,9,0,0
267,Project G,2024-01-30,2024-08-24,,844540,147491,351,Construction,10,1,1,1,5,2,7,0,0
268,Project H,2024-01-18,2024-07-29,,1089536,309197,303,Planning,12,4,2,7,0,1,5,1,0
269,Project I,2024-01-22,2024-08-02,,750693,234419,373,Construction,3,6,2,5,8,2,5,1,0
270,Project J,2024-01-07,2024-08-01,,908755,42907,231,Inspection,17,3,0,7,9,10,3,0,0
271,Project K,2024-01-11,2024-10-24,,596955,24394,288,Construction,1,3,0,5,2,8,2,2,0
272,Project L,2024-01-23,2024-09-22,,1113146,373793,246,Planning,5,7,2,10,3,9,7,1,1
273,Project M,2024-01-11,2024-07-15,,1255790,29340,328,Planning,1,9,4,6,4,8,7,0,1
274,Project N,2024-01-27,2024-11-05,,715367,22352,279,Inspection,2,8,4,9,2,2,7,1,1
275,Project O,2024-01-15,2024-09-22,,1326902,96284,177,Planning,11,2,3,8,6,8,4,1,0
276,Project P,2024-01-30,2024-07-13,,1095463,492003,255,Inspection,17,3,3,1,3,6,4,2,0
277,Project Q,2024-01-21,2024-07-10,,682853,286226,219,Planning,6,3,1,4,9,8,4,0,0
278,Project R,2024-01-10,2024-11-18,,1075686,289881,267,Planning,11,9,4,9,0,4,1,1,0
279,Project S,2024-01-08,2024-09-16,,902238,361766,295,Construction,6,2,3,8,4,8,2,0,1
280,Project T,2024-01-03,2024-07-04,,1253057,86661,348,Construction,5,5,0,6,1,1,9,2,0
281,Project U,2024-01-21,2024-10-01,,1397824,158184,309,Planning,8,4,4,2,9,6,3,0,1
282,Project V,2024-01-13,2024-09-13,,614440,334452,266,Construction,18,10,4,2,0,6,3,1,1
283,Project W,2024-01-21,2024-09-14,,958536,124291,324,Construction,6,1,2,1,4,8,1,1,1
284,Project X,2024-01-15,2024-09-16,,695059,364311,232,Inspection,10,10,3,1,3,5,10,2,1
285,Project Y,2024-01-29,2024-12-14,,1474128,245637,242,Construction,7,5,2,8,8,2,5,0,1
286,Project Z,2024-01-30,2024-12-21,,1020295,448649,369,Inspection,11,7,4,6,2,1,2,0,1
287,Project A,2024-01-09,2024-11-01,,1260449,481867,236,Planning,13,8,3,8,4,7,2,1,0
288,Project B,2024-01-10,2024-07-01,,1038138,100022,311,Construction,7,8,0,3,0,7,4,0,1
289,Project C,2024-01-13,2024-07-13,,766868,153142,202,Inspection,13,6,1,10,9,9,5,0,0
290,Project D,2024-01-11,2024-09-11,,885307,493927,309,Planning,9,8,1,1,8,2,6,2,0
291,Project E,2024-01-05,2024-10-31,,686380,143122,292,Construction,11,8,2,2,0,5,7,0,0
292,Project F,2024-01-16,2024-11-08,,1296875,171703,157,Inspection,17,4,2,9,3,7,5,0,0
293,Project G,2024-01-21,2024-10-30,,1319799,197991,289,Construction,5,1,1,7,2,2,10,2,0
294,Project H,2024-01-07,2024-10-01,,1051305,13899,372,Planning,13,3,3,4,3,6,10,2,0
295,Project I,2024-01-03,2024-07-17,,973942,483301,319,Planning,10,9,1,6,7,3,10,1,0
296,Project J,2024-01-28,2024-08-16,,541793,382806,255,Inspection,7,2,2,2,0,7,1,2,1
297,Project K,2024-01-04,2024-07-01,,590169,124592,256,Construction,8,4,1,7,9,6,10,0,1
298,Project L,2024-01-14,2024-10-19,,743317,353082,276,Planning,8,9,4,4,6,8,5,2,1
299,Project M,2024-01-09,2024-11-02,,726519,205160,349,Construction,7,1,1,6,5,9,10,0,0
300,Project N,2024-01-06,2024-08-07,,1373884,116362,309,Planning,18,2,4,10,9,3,5,0,0
301,Project O,2024-01-17,2024-08-22,,1295519,61996,281,Construction,8,5,4,7,0,4,4,2,1
302,Project P,2024-01-13,2024-07-03,,889112,130218,298,Construction,15,8,0,10,9,1,7,0,0
303,Project Q,2024-01-12,2024-10-28,,839554,272867,375,Inspection,8,5,2,6,4,2,4,0,0
304,Project R,2024-01-12,2024-08-17,,734104,173604,177,Construction,5,7,0,4,9,3,1,2,1
305,Project S,2024-01-21,2024-10-01,,916278,494014,296,Inspection,9,9,1,6,9,4,5,0,1
306,Project T,2024-01-14,2024-08-29,,1149520,268301,318,Construction,5,8,1,7,6,6,5,1,0
307,Project U,2024-01-03,2024-07-22,,1215840,307696,233,Inspection,6,10,1,2,1,5,5,0,0
308,Project V,2024-01-13,2024-08-31,,786352,178032,205,Planning,1,9,0,6,5,5,5,1,0
309,Project W,2024-01-09,2024-08-02,,812716,120563,336,Inspection,15,2,1,3,4,7,1,1,0
310,Project X,2024-01-09,2024-10-22,,1260354,219481,335,Inspection,13,7,0,4,6,10,9,2,1
311,Project Y,2024-01-11,2024-11-24,,1410176,26265,332,Construction,1,10,3,8,6,5,6,1,1
312,Project Z,2024-01-19,2024-12-30,,932503,251130,214,Planning,7,8,4,4,6,7,8,0,1
313,Project A,2024-01-12,2024-09-07,,722662,27060,383,Construction,10,5,2,2,2,4,9,2,1
314,Project B,2024-01-18,2024-10-19,,1350894,308294,160,Planning,11,1,1,2,5,9,10,2,1
315,Project C,2024-01-10,2024-11-03,,646148,373190,342,Planning,19,10,3,9,0,1,1,2,1
316,Project D,2024-01-03,2024-11-22,,996244,48764,316,Planning,12,8,0,3,7,4,9,1,0
317,Project E,2024-01-26,2024-11-07,,890252,281111,200,Planning,15,8,4,1,9,6,9,1,0
318,Project F,2024-01-30,2024-10-20,,1200170,42907,173,Construction,5,2,3,5,7,10,4,2,0
319,Project G,2024-01-20,2024-10-13,,1121308,74907,251,Planning,8,7,3,2,8,9,10,0,1
320,Project H,2024-01-18,2024-08-25,,840359,309513,256,Inspection,1,3,4,8,7,4,5,0,0
321,Project I,2024-01-17,2024-07-11,,727949,196936,244,Planning,8,6,2,6,4,7,9,0,0
322,Project J,2024-01-11,2024-10-05,,518200,179082,279,Construction,13,6,4,3,6,8,10,1,0
323,Project K,2024-01-25,2024-07-20,,591179,484168,258,Inspection,6,8,1,8,0,8,5,1,0
324,Project L,2024-01-08,2024-09-23,,779386,356464,355,Construction,11,2,1,5,4,5,8,2,0
325,Project M,2024-01-12,2024-10-11,,1092782,254116,345,Planning,3,10,1,7,1,6,10,1,1
326,Project N,2024-01-16,2024-08-24,,1030854,312647,332,Inspection,4,9,2,6,8,6,10,0,1
327,Project O,2024-01-09,2024-10-18,,1295731,2141,250,Planning,13,2,2,10,5,1,5,0,1
328,Project P,2024-01-09,2024-11-28,,788257,465506,349,Inspection,16,6,0,3,0,6,4,0,0
329,Project Q,2024-01-07,2024-10-20,,779842,367860,163,Inspection,19,5,4,5,9,10,10,0,0
330,Project R,2024-01-30,2024-09-01,,950400,214924,271,Inspection,5,10,1,9,3,5,1,1,1
331,Project S,2024-01-20,2024-09-19,,1148427,86350,236,Inspection,5,6,3,5,8,3,3,2,0
332,Project T,2024-01-26,2024-08-08,,841437,70729,197,Inspection,15,1,1,7,8,2,1,0,0
333,Project U,2024-01-07,2024-09-10,,869732,196710,307,Inspection,17,7,4,7,2,3,6,2,1
334,Project V,2024-01-17,2024-07-23,,1219641,68162,321,Planning,5,4,0,2,0,7,4,2,0
335,Project W,2024-01-24,2024-09-09,,1065235,94518,179,Inspection,8,7,4,7,9,1,4,1,1
336,Project X,2024-01-18,2024-08-02,,1208743,31970,305,Construction,6,4,1,4,1,8,3,2,1
337,Project Y,2024-01-23,2024-10-15,,1167839,98879,325,Construction,14,9,0,10,6,8,7,0,1
338,Project Z,2024-01-02,2024-09-02,,1002250,497569,197,Inspection,5,4,0,5,2,3,4,2,1
339,Project A,2024-01-08,2024-07-11,,622645,286191,152,Planning,12,2,2,4,2,10,6,1,0
340,Project B,2024-01-19,2024-07-20,,524727,266911,189,Planning,6,1,1,1,1,7,6,0,1
341,Project C,2024-01-10,2024-09-05,,945245,386213,202,Planning,7,4,1,2,9,2,4,1,1
342,Project D,2024-01-05,2024-08-05,,1473056,327911,391,Construction,17,6,3,3,5,6,7,1,1
343,Project E,2024-01-22,2024-09-15,,690602,117269,366,Planning,19,6,1,7,1,10,3,0,1
344,Project F,2024-01-06,2024-09-03,,804896,5515,153,Planning,10,2,1,6,8,5,4,0,1
345,Project G,2024-01-25,2024-07-09,,939705,489861,300,Planning,17,10,2,10,8,5,3,0,0
346,Project H,2024-01-13,2024-08-15,,1425782,271860,349,Construction,6,4,3,1,4,6,7,2,0
347,Project I,2024-01-20,2024-09-23,,1177004,10539,293,Inspection,4,1,0,7,2,4,2,1,0
348,Project J,2024-01-29,2024-08-09,,613618,145496,378,Inspection,11,9,1,5,3,1,4,0,1
349,Project K,2024-01-07,2024-09-25,,618755,482787,287,Inspection,8,7,1,8,6,3,3,2,1
350,Project L,2024-01-04,2024-12-22,,575787,445181,316,Construction,15,1,1,9,6,6,7,2,0
351,Project M,2024-01-28,2024-09-21,,1458639,390694,288,Planning,11,6,3,1,4,6,5,1,1
352,Project N,2024-01-20,2024-10-13,,979165,478009,264,Inspection,18,1,1,1,2,5,3,2,0
353,Project O,2024-01-22,2024-11-29,,721928,296089,152,Inspection,13,5,1,2,0,8,7,1,1
354,Project P,2024-01-26,2024-07-26,,970000,147809,186,Inspection,7,6,4,9,0,8,3,1,0
355,Project Q,2024-01-17,2024-08-10,,1072991,9498,233,Inspection,17,1,4,9,8,2,5,2,1
356,Project R,2024-01-10,2024-12-27,,1270654,45303,220,Construction,10,8,0,7,7,3,7,1,1
357,Project S,2024-01-22,2024-07-06,,525922,176869,209,Construction,17,4,3,9,2,8,3,2,0
358,Project T,2024-01-05,2024-08-10,,737168,449976,304,Inspection,18,7,3,1,0,8,5,2,0
359,Project U,2024-01-03,2024-12-23,,1195446,323674,214,Construction,12,1,4,9,6,2,8,0,0
360,Project V,2024-01-12,2024-07-11,,527289,399004,217,Inspection,18,3,4,9,9,6,6,2,0
361,Project W,2024-01-19,2024-09-05,,757909,467690,237,Construction,6,5,1,3,7,8,5,2,1
362,Project X,2024-01-17,2024-10-09,,1197309,312877,267,Inspection,10,3,1,3,4,9,10,0,1
363,Project Y,2024-01-01,2024-07-11,,895340,298812,293,Construction,15,1,3,7,7,9,9,2,1
364,Project Z,2024-01-11,2024-10-21,,1284867,219104,154,Planning,7,5,0,6,6,4,2,0,1
365,Project A,2024-01-25,2024-11-14,,554942,213723,371,Planning,3,5,3,1,3,7,9,0,1
366,Project B,2024-01-14,2024-11-22,,969634,390639,266,Construction,18,4,1,10,5,7,3,2,1
367,Project C,2024-01-16,2024-12-06,,652679,2700,285,Construction,14,10,2,3,8,1,4,0,0
368,Project D,2024-01-12,2024-07-25,,1074611,131139,394,Inspection,9,7,2,6,5,2,2,2,0
369,Project E,2024-01-10,2024-08-27,,877405,425383,227,Construction,3,4,2,3,9,9,9,1,1
370,Project F,2024-01-20,2024-10-07,,1108279,454932,197,Construction,2,2,4,2,4,2,1,2,0
371,Project G,2024-01-29,2024-07-03,,1407940,64377,307,Planning,5,8,0,5,9,8,6,0,0
372,Project H,2024-01-11,2024-12-29,,1156888,325170,327,Inspection,8,3,3,6,9,3,7,0,0
373,Project I,2024-01-22,2024-07-21,,1364834,367381,350,Planning,14,3,2,5,1,8,9,2,0
374,Project J,2024-01-02,2024-09-11,,733178,286305,363,Planning,2,3,1,10,3,3,4,1,0
375,Project K,2024-01-01,2024-09-09,,1063598,491983,190,Inspection,12,1,1,5,7,9,7,0,0
376,Project L,2024-01-29,2024-08-14,,743724,146591,366,Planning,13,5,4,5,9,8,9,2,0
377,Project M,2024-01-18,2024-11-18,,1434097,369948,260,Planning,18,7,1,8,1,2,4,1,1
378,Project N,2024-01-23,2024-11-13,,1286090,196247,330,Inspection,12,6,2,7,0,8,3,0,1
379,Project O,2024-01-13,2024-07-17,,1446883,90196,157,Inspection,6,9,2,5,2,7,1,1,1
380,Project P,2024-01-25,2024-07-30,,1189787,341513,150,Construction,6,3,2,6,4,8,6,1,1
381,Project Q,2024-01-12,2024-08-27,,1113816,176125,158,Construction,10,5,4,5,2,3,7,1,0
382,Project R,2024-01-24,2024-12-27,,1019250,161784,297,Planning,7,7,3,8,3,9,4,0,1
383,Project S,2024-01-30,2024-07-31,,607479,416013,264,Planning,8,3,2,10,9,4,7,0,1
384,Project T,2024-01-30,2024-08-26,,773280,17247,210,Construction,1,4,2,7,9,8,1,2,0
385,Project U,2024-01-30,2024-11-21,,1217728,37733,364,Construction,9,3,0,8,7,5,5,0,1
386,Project V,2024-01-07,2024-07-09,,968483,17782,331,Construction,12,10,3,9,8,1,3,0,0
387,Project W,2024-01-18,2024-10-29,,1136805,137242,157,Planning,10,8,4,1,0,1,10,1,1
388,Project X,2024-01-25,2024-10-03,,930857,465088,373,Inspection,13,3,3,4,8,6,6,1,1
389,Project Y,2024-01-04,2024-12-26,,1382569,73149,169,Construction,17,8,0,3,6,1,7,1,0
390,Project Z,2024-01-03,2024-09-13,,521412,250662,352,Construction,15,9,2,4,3,10,6,2,0
391,Project A,2024-01-01,2024-07-04,,1068786,464834,280,Planning,5,7,1,8,4,7,5,1,1
392,Project B,2024-01-08,2024-12-18,,1466084,138430,394,Construction,1,2,4,2,2,5,3,1,0
393,Project C,2024-01-29,2024-11-23,,1116405,181090,151,Inspection,7,9,1,6,4,5,9,1,0
394,Project D,2024-01-18,2024-10-30,,1326504,139660,299,Construction,17,4,3,3,7,2,1,2,0
395,Project E,2024-01-03,2024-11-08,,1333333,371500,214,Construction,2,6,0,4,9,1,7,2,1
396,Project F,2024-01-17,2024-07-18,,1192438,308175,370,Construction,10,10,2,6,4,5,10,0,0
397,Project G,2024-01-04,2024-08-21,,990092,219990,192,Planning,4,2,2,6,7,5,10,2,0
398,Project H,2024-01-13,2024-07-14,,563230,148910,353,Planning,19,10,3,9,0,9,9,0,0
399,Project I,2024-01-18,2024-10-09,,1256152,205867,394,Inspection,3,4,0,2,5,7,8,0,1
400,Project J,2024-01-28,2024-09-17,,855602,199248,355,Inspection,1,9,1,2,0,1,6,0,0
401,Project K,2024-01-25,2024-07-23,,866947,371048,359,Planning,16,8,4,10,6,3,2,2,1
402,Project L,2024-01-24,2024-08-18,,1300624,130445,219,Inspection,12,3,3,5,8,8,3,0,0
403,Project M,2024-01-14,2024-07-05,,743673,970,364,Planning,2,1,0,3,5,1,6,0,1
404,Project N,2024-01-06,2024-12-02,,856561,290712,393,Planning,12,3,1,9,9,1,9,1,0
405,Project O,2024-01-13,2024-09-22,,1424974,72658,170,Planning,6,4,1,2,0,9,10,0,0
406,Project P,2024-01-30,2024-09-16,,1147858,88382,373,Planning,10,4,4,3,0,9,9,1,1
407,Project Q,2024-01-30,2024-09-27,,1140267,332600,224,Construction,4,5,4,1,4,4,3,2,1
408,Project R,2024-01-26,2024-07-20,,514044,192493,242,Planning,17,8,2,8,8,7,9,2,1
409,Project S,2024-01-30,2024-10-01,,985997,431667,231,Inspection,5,1,1,1,1,9,7,1,1
410,Project T,2024-01-17,2024-11-03,,591570,291031,379,Planning,13,4,0,9,9,3,5,0,1
411,Project U,2024-01-08,2024-10-03,,541468,436155,286,Planning,9,7,0,5,7,6,1,2,0
412,Project V,2024-01-09,2024-11-15,,1082918,292660,229,Planning,15,10,0,5,4,1,4,2,0
413,Project W,2024-01-08,2024-11-25,,927790,299949,266,Construction,12,5,2,8,0,2,1,2,1
414,Project X,2024-01-05,2024-09-30,,1267821,121687,171,Inspection,11,7,4,4,6,5,7,0,0
415,Project Y,2024-01-23,2024-08-06,,1421544,105634,290,Inspection,17,2,2,5,8,10,10,0,1
416,Project Z,2024-01-28,2024-10-21,,1423915,292334,171,Inspection,10,6,2,3,3,2,9,2,1
417,Project A,2024-01-20,2024-09-09,,1107962,128991,235,Construction,10,2,0,8,3,4,9,1,0
418,Project B,2024-01-26,2024-07-04,,1220299,51299,154,Construction,9,6,2,4,6,1,8,0,0
419,Project C,2024-01-08,2024-07-27,,753908,258293,229,Construction,4,3,2,9,5,4,9,2,1
420,Project D,2024-01-24,2024-07-01,,988830,332745,366,Inspection,19,5,3,10,3,2,9,1,0
421,Project E,2024-01-20,2024-12-09,,811938,84546,387,Construction,2,4,1,9,4,7,3,0,0
422,Project F,2024-01-25,2024-11-15,,875746,462297,166,Inspection,2,8,4,10,4,6,4,1,1
423,Project G,2024-01-27,2024-10-14,,1288107,162653,182,Construction,5,9,1,4,6,7,5,1,0
424,Project H,2024-01-17,2024-12-11,,1208315,196744,212,Construction,10,1,1,5,6,4,3,2,0
425,Project I,2024-01-07,2024-07-04,,1186421,346702,154,Construction,1,5,3,9,8,3,10,1,0
426,Project J,2024-01-19,2024-10-23,,828922,33991,195,Inspection,13,4,2,9,4,8,3,1,0
427,Project K,2024-01-08,2024-11-27,,1463272,430954,308,Construction,19,5,1,1,6,4,7,2,0
428,Project L,2024-01-13,2024-07-26,,1048514,299182,206,Planning,19,7,4,1,2,6,3,0,1
429,Project M,2024-01-25,2024-11-21,,960866,398604,307,Inspection,9,10,0,10,5,7,5,1,1
430,Project N,2024-01-13,2024-08-02,,1138662,60169,302,Inspection,4,5,2,2,3,4,1,1,1
431,Project O,2024-01-10,2024-07-20,,1251550,348343,389,Construction,12,3,4,2,8,9,5,2,0
432,Project P,2024-01-01,2024-10-25,,1379288,179813,206,Planning,13,10,1,3,0,2,8,2,1
433,Project Q,2024-01-07,2024-12-11,,1185692,28481,216,Inspection,15,3,2,9,9,6,8,1,0
434,Project R,2024-01-27,2024-08-16,,951379,381971,277,Planning,12,7,1,3,3,7,6,1,1
435,Project S,2024-01-24,2024-08-03,,554705,201464,344,Planning,4,4,2,2,9,6,2,2,0
436,Project T,2024-01-02,2024-11-30,,1429136,379982,357,Construction,1,1,2,7,8,10,8,2,1
437,Project U,2024-01-17,2024-06-29,,730851,225749,179,Planning,14,4,2,1,3,10,7,0,1
438,Project V,2024-01-05,2024-11-12,,539839,405985,151,Construction,16,9,4,3,9,4,3,1,0
439,Project W,2024-01-07,2024-10-31,,1174624,94864,378,Planning,5,2,1,1,5,9,3,1,1
440,Project X,2024-01-17,2024-11-19,,934386,436144,393,Inspection,8,6,3,3,0,6,8,1,1
441,Project Y,2024-01-13,2024-09-19,,645379,233060,307,Construction,8,5,2,8,6,9,6,0,0
442,Project Z,2024-01-03,2024-08-26,,712284,71645,187,Planning,3,1,1,10,5,10,5,2,1
443,Project A,2024-01-02,2024-11-26,,863452,313956,286,Inspection,16,10,0,6,7,2,8,2,0
444,Project B,2024-01-09,2024-12-01,,913144,115526,253,Inspection,5,4,2,10,5,2,7,1,1
445,Project C,2024-01-22,2024-08-28,,643909,75828,258,Planning,9,10,4,10,6,7,10,1,1
446,Project D,2024-01-09,2024-10-16,,939122,188822,226,Inspection,13,4,4,7,7,8,6,0,1
447,Project E,2024-01-24,2024-12-21,,1235789,441855,342,Planning,1,9,0,6,1,3,1,2,1
448,Project F,2024-01-19,2024-12-28,,1258676,109480,195,Planning,14,9,0,7,6,4,5,1,1
449,Project G,2024-01-03,2024-10-11,,772954,287183,181,Inspection,16,3,4,9,3,10,10,2,0
450,Project H,2024-01-06,2024-07-09,,633108,345032,395,Planning,9,2,1,2,9,8,8,2,0
451,Project I,2024-01-09,2024-09-01,,1072209,312348,362,Inspection,12,2,0,9,2,4,3,0,1
452,Project J,2024-01-13,2024-10-29,,1082636,281722,310,Planning,6,1,0,7,8,1,9,2,0
453,Project K,2024-01-19,2024-06-30,,1319373,301877,267,Construction,17,8,1,1,3,3,4,1,0
454,Project L,2024-01-01,2024-12-22,,721876,358918,355,Planning,9,10,3,8,2,9,8,0,0
455,Project M,2024-01-02,2024-12-30,,694797,106796,177,Construction,7,5,0,3,9,10,5,2,1
456,Project N,2024-01-29,2024-08-06,,1297870,200525,339,Planning,7,4,3,3,5,8,6,2,0
457,Project O,2024-01-20,2024-10-07,,907093,5477,397,Inspection,19,5,4,3,7,6,8,1,1
458,Project P,2024-01-02,2024-09-26,,727112,353890,355,Planning,5,8,4,5,4,7,9,1,1
459,Project Q,2024-01-20,2024-09-18,,1451444,35037,276,Construction,13,2,3,1,3,3,3,1,1
460,Project R,2024-01-30,2024-08-24,,1021317,154213,367,Construction,10,1,1,8,3,7,10,1,0
461,Project S,2024-01-28,2024-08-22,,1418465,162403,339,Planning,1,3,4,3,5,7,6,1,0
462,Project T,2024-01-13,2024-10-13,,567184,55604,343,Planning,12,6,1,5,1,8,10,0,1
463,Project U,2024-01-15,2024-09-13,,1366118,221082,274,Planning,3,5,0,4,7,1,9,0,1
464,Project V,2024-01-07,2024-12-10,,969901,248426,351,Construction,8,1,0,10,0,8,9,2,1
465,Project W,2024-01-02,2024-08-14,,538389,356411,394,Construction,13,7,4,8,3,4,2,2,0
466,Project X,2024-01-07,2024-11-22,,1396036,408523,278,Construction,17,4,1,4,9,9,5,1,1
467,Project Y,2024-01-24,2024-10-31,,702818,29089,353,Inspection,16,3,0,2,0,8,2,0,0
468,Project Z,2024-01-29,2024-07-17,,1120860,194555,385,Planning,10,8,0,9,7,7,3,0,0
469,Project A,2024-01-05,2024-07-06,,1420902,117490,398,Inspection,3,2,0,8,5,5,10,1,0
470,Project B,2024-01-22,2024-12-26,,1369307,404219,203,Planning,11,10,2,7,9,2,8,0,1
471,Project C,2024-01-16,2024-12-29,,654691,155916,352,Construction,8,3,0,1,8,8,1,0,0
472,Project D,2024-01-29,2024-10-25,,604043,465388,265,Inspection,7,10,2,3,7,8,6,2,1
473,Project E,2024-01-03,2024-11-14,,796722,184230,263,Inspection,6,6,3,5,2,1,9,1,1
474,Project F,2024-01-30,2024-11-08,,1040451,255556,390,Construction,9,9,1,3,3,5,8,2,1
475,Project G,2024-01-19,2024-11-14,,987957,316272,298,Construction,17,8,1,7,3,1,8,2,1
476,Project H,2024-01-09,2024-08-03,,701234,317963,261,Inspection,19,4,3,8,2,6,5,0,1
477,Project I,2024-01-25,2024-07-31,,665906,205696,221,Construction,15,4,1,10,5,8,1,0,1
478,Project J,2024-01-18,2024-07-03,,867326,162605,365,Planning,2,5,2,3,5,2,1,1,1
479,Project K,2024-01-25,2024-08-05,,999951,348482,164,Inspection,7,9,2,3,6,4,1,2,0
480,Project L,2024-01-18,2024-07-31,,1364978,134204,321,Planning,16,1,2,4,9,8,6,1,0
481,Project M,2024-01-23,2024-07-08,,913656,416196,241,Construction,14,1,3,5,2,7,10,0,0
482,Project N,2024-01-29,2024-09-01,,872526,480121,183,Planning,5,7,0,4,6,10,9,0,1
483,Project O,2024-01-29,2024-12-30,,720608,58418,245,Construction,5,3,4,6,1,5,10,1,0
484,Project P,2024-01-25,2024-12-15,,1232392,446179,392,Construction,16,5,4,1,5,4,9,1,0
485,Project Q,2024-01-12,2024-11-20,,1426450,430734,322,Construction,9,6,3,6,7,5,6,2,1
486,Project R,2024-01-26,2024-10-24,,601925,49522,308,Inspection,19,9,3,1,6,4,3,2,1
487,Project S,2024-01-04,2024-10-17,,1339613,22949,242,Inspection,6,4,4,8,2,7,1,0,0
488,Project T,2024-01-09,2024-10-10,,533184,55806,340,Inspection,17,9,0,9,1,1,4,2,0
489,Project U,2024-01-25,2024-12-27,,633580,206640,365,Inspection,18,2,0,4,6,7,10,1,0
490,Project V,2024-01-08,2024-10-18,,976621,245854,331,Inspection,10,9,2,9,1,10,10,0,0
491,Project W,2024-01-16,2024-07-23,,1338229,355860,297,Inspection,9,9,1,10,3,7,2,0,1
492,Project X,2024-01-06,2024-07-27,,1041943,492377,243,Planning,18,4,2,6,4,6,3,2,1
493,Project Y,2024-01-22,2024-07-30,,849917,7759,257,Planning,7,10,2,8,4,2,2,2,1
494,Project Z,2024-01-29,2024-11-30,,1031244,76556,156,Construction,11,2,4,7,9,4,7,1,1
495,Project A,2024-01-16,2024-11-29,,861122,279410,353,Construction,14,8,1,3,9,8,8,0,1
496,Project B,2024-01-21,2024-08-04,,1001861,388384,227,Inspection,19,4,4,8,7,4,10,0,1
497,Project C,2024-01-21,2024-11-26,,855652,266370,215,Planning,14,10,3,9,4,7,5,1,0
498,Project D,2024-01-23,2024-08-28,,1154603,475787,261,Planning,7,3,2,10,5,1,5,0,0
499,Project E,2024-01-04,2024-10-09,,826664,280930,351,Planning,16,2,1,6,4,3,4,1,1
500,Project F,2024-01-17,2024-08-22,,1473990,189077,204,Planning,11,10,2,6,5,3,6,0,0
501,Project G,2024-01-15,2024-10-13,,752371,140432,252,Construction,9,10,2,4,4,5,4,2,1
502,Project H,2024-01-13,2024-12-17,,1142322,416655,206,Construction,8,3,2,1,4,10,6,1,1
503,Project I,2024-01-05,2024-07-09,,1173895,252008,353,Planning,14,7,4,6,1,1,4,1,0
504,Project J,2024-01-30,2024-11-19,,1031141,154418,360,Inspection,19,3,0,4,8,9,10,0,0
505,Project K,2024-01-09,2024-09-08,,537180,38994,231,Planning,16,2,0,9,5,6,2,2,0
506,Project L,2024-01-02,2024-09-08,,891333,290791,328,Construction,15,2,4,7,3,6,6,2,0
507,Project M,2024-01-12,2024-06-29,,983178,463521,192,Inspection,5,6,1,10,7,7,3,2,0
508,Project N,2024-01-17,2024-10-05,,684211,91992,158,Inspection,15,8,4,5,6,1,1,1,1
509,Project O,2024-01-25,2024-09-02,,1044591,321531,371,Inspection,3,2,0,7,6,10,9,1,1
510,Project P,2024-01-02,2024-09-04,,1335000,369631,336,Construction,4,10,1,10,2,2,4,0,1
511,Project Q,2024-01-29,2024-12-26,,692499,356077,208,Construction,12,4,1,10,9,6,1,2,0
512,Project R,2024-01-06,2024-07-02,,794709,446408,377,Construction,5,1,2,4,1,3,9,2,0
513,Project S,2024-01-22,2024-11-01,,1117547,73993,194,Planning,14,5,1,7,5,2,4,0,1
514,Project T,2024-01-11,2024-08-25,,823348,309904,377,Construction,10,5,0,9,3,9,1,0,1
515,Project U,2024-01-05,2024-07-22,,509101,141314,247,Inspection,1,2,4,3,3,1,2,1,0
516,Project V,2024-01-19,2024-09-18,,1494731,412858,338,Planning,14,2,3,2,9,5,2,0,0
517,Project W,2024-01-26,2024-10-04,,573085,142156,253,Construction,18,8,1,2,2,2,8,2,0
518,Project X,2024-01-04,2024-07-22,,887168,79987,181,Planning,8,5,3,6,5,3,1,2,1
519,Project Y,2024-01-12,2024-11-23,,1314764,366633,186,Construction,3,7,1,8,5,1,7,1,1
520,Project Z,2024-01-17,2024-09-06,,1261354,484506,365,Construction,4,4,0,1,3,10,6,1,0
521,Project A,2024-01-04,2024-12-21,,932280,27340,356,Inspection,12,4,1,6,5,1,9,0,0
522,Project B,2024-01-13,2024-08-12,,561399,5456,384,Inspection,19,6,1,5,3,7,1,1,0
523,Project C,2024-01-06,2024-12-02,,1017803,312059,365,Construction,7,10,3,4,1,4,8,0,1
524,Project D,2024-01-16,2024-12-26,,672127,120089,285,Construction,16,4,2,8,7,7,6,0,1
525,Project E,2024-01-10,2024-09-20,,556195,310428,267,Inspection,8,3,2,5,9,3,8,2,1
526,Project F,2024-01-14,2024-09-13,,828175,36980,184,Inspection,6,6,3,8,1,4,9,1,0
527,Project G,2024-01-18,2024-08-17,,747143,80285,331,Inspection,4,4,2,4,8,5,8,0,0
528,Project H,2024-01-19,2024-11-06,,802019,328523,249,Construction,18,10,2,6,4,9,7,1,1
529,Project I,2024-01-25,2024-12-14,,1118411,466393,285,Inspection,4,2,2,6,5,4,2,2,0
530,Project J,2024-01-08,2024-10-08,,562843,373681,177,Construction,3,4,1,3,0,3,8,1,1
531,Project K,2024-01-21,2024-10-29,,1293003,388277,320,Inspection,7,10,0,1,1,1,5,2,1
